iter	Passed	Remaining
0	16	1273
1	50	1964
2	73	1888
3	105	1996
4	140	2104
5	173	2145
6	208	2173
7	237	2134
8	267	2106
9	301	2108
10	332	2088
11	362	2054
12	391	2019
13	420	1984
14	450	1951
15	501	2006
16	534	1979
17	565	1948
18	601	1929
19	647	1941
20	693	1949
21	742	1957
22	793	1966
23	831	1940
24	871	1917
25	914	1900
26	976	1917
27	1015	1886
28	1049	1844
29	1124	1873
30	1173	1855
31	1221	1832
32	1265	1802
33	1303	1763
34	1336	1717
35	1367	1671
36	1398	1624
37	1435	1586
38	1470	1545
39	1507	1507
40	1544	1468
41	1578	1428
42	1609	1385
43	1660	1358
44	1738	1351
45	1773	1310
46	1808	1270
47	1838	1225
48	1870	1183
49	1903	1141
50	1936	1101
51	1969	1060
52	2003	1020
53	2044	984
54	2077	944
55	2108	903
56	2139	863
57	2173	824
58	2205	785
59	2234	744
60	2269	706
61	2299	667
62	2331	629
63	2366	591
64	2402	554
65	2441	517
66	2486	482
67	2533	447
68	2571	409
69	2623	374
70	2657	336
71	2687	298
72	2717	260
73	2748	222
74	2780	185
75	2816	148
76	2855	111
77	2904	74
78	2936	37
79	2983	0
