iter	Logloss
0	0.3061347701
1	0.2256599496
2	0.1941005548
3	0.1833918022
4	0.1802202866
5	0.1773018409
6	0.1754810407
7	0.1747598687
8	0.1739316283
9	0.1732842177
10	0.1718333496
11	0.1711160301
12	0.1709147023
13	0.1706996929
14	0.1702335672
15	0.1697326159
16	0.1693502149
17	0.1691273574
18	0.1682312101
19	0.1674209821
20	0.1665386878
21	0.1662734613
22	0.1662039128
23	0.165725959
24	0.1646222292
25	0.1637614897
26	0.1636614757
27	0.1634727618
28	0.1633770723
29	0.1633618493
30	0.1629784165
31	0.1623788234
32	0.1618589737
33	0.1608453047
34	0.1604533932
35	0.1602237526
36	0.1601840015
37	0.1597579209
38	0.1594639829
39	0.1590850245
40	0.1586778239
41	0.1580120986
42	0.1578051257
43	0.1575412628
44	0.1571830124
45	0.156533579
46	0.156259225
47	0.155923898
48	0.1559238709
49	0.1557677765
50	0.1556192411
51	0.1554861502
52	0.1546708104
53	0.1539014706
54	0.153178044
55	0.1525751183
56	0.1521859034
57	0.1518816174
58	0.1513932495
59	0.1511348018
60	0.1502083614
61	0.150028219
62	0.1497816833
63	0.1495365114
64	0.1490999482
65	0.1489995134
66	0.148656375
67	0.1485127818
68	0.1481510027
69	0.1477132447
70	0.1474058366
71	0.1468994674
72	0.1468230451
73	0.146730354
74	0.1466229856
75	0.1465129157
76	0.1464166441
77	0.1462754409
78	0.1459120592
79	0.145464506
