iter	Logloss
0	0.6216023319
1	0.5617461271
2	0.512690469
3	0.472003417
4	0.437091322
5	0.4070441108
6	0.3825359768
7	0.3603620774
8	0.341288833
9	0.3252779254
10	0.3104646241
11	0.2971534235
12	0.2862267646
13	0.2764415612
14	0.2675627618
15	0.259837669
16	0.2534985883
17	0.2477566092
18	0.2421634589
19	0.2372934302
20	0.2327956692
21	0.2291900299
22	0.2254717481
23	0.2226153574
24	0.2201105369
25	0.2179950715
26	0.2155807544
27	0.2135067444
28	0.2112679262
29	0.2094046073
30	0.2075770182
31	0.2060679619
32	0.2046182706
33	0.2030990755
34	0.2015683988
35	0.2004185194
36	0.1994575917
37	0.1984933493
38	0.1979467317
39	0.197065852
40	0.1962666768
41	0.195155693
42	0.1943441305
43	0.1935238967
44	0.1928837731
45	0.1921471896
46	0.1911870964
47	0.1906025259
48	0.1897984807
49	0.1893013594
