iter	Passed	Remaining
0	33	1665
1	68	1655
2	101	1593
3	132	1518
4	168	1517
5	202	1486
6	236	1454
7	268	1411
8	309	1411
9	343	1374
10	381	1351
11	410	1298
12	441	1255
13	469	1206
14	476	1111
15	504	1072
16	534	1037
17	562	999
18	592	967
19	626	939
20	655	905
21	682	868
22	712	836
23	742	804
24	772	772
25	803	741
26	834	711
27	866	680
28	898	650
29	936	624
30	963	590
31	996	560
32	1039	535
33	1085	510
34	1124	481
35	1173	456
36	1210	425
37	1251	395
38	1289	363
39	1325	331
40	1365	299
41	1407	268
42	1445	235
43	1484	202
44	1526	169
45	1569	136
46	1610	102
47	1643	68
48	1686	34
49	1726	0
