iter	Passed	Remaining
0	22	2225
1	49	2429
2	62	2007
3	81	1951
4	99	1899
5	118	1861
6	128	1708
7	137	1584
8	165	1674
9	174	1573
10	197	1595
11	217	1592
12	228	1530
13	234	1440
14	259	1469
15	275	1447
16	297	1454
17	322	1467
18	344	1466
19	368	1472
20	391	1473
21	415	1472
22	435	1457
23	459	1453
24	481	1444
25	504	1435
26	529	1432
27	557	1432
28	589	1442
29	613	1431
30	633	1409
31	656	1395
32	678	1378
33	699	1357
34	722	1342
35	745	1325
36	766	1304
37	789	1288
38	813	1272
39	835	1253
40	858	1235
41	883	1219
42	904	1199
43	927	1180
44	949	1160
45	973	1142
46	1005	1133
47	1029	1115
48	1085	1129
49	1109	1109
50	1131	1086
51	1154	1065
52	1179	1045
53	1193	1016
54	1206	987
55	1223	961
56	1247	940
57	1267	918
58	1290	896
59	1345	896
60	1367	874
61	1389	851
62	1412	829
63	1434	807
64	1484	799
65	1512	779
66	1576	776
67	1605	755
68	1628	731
69	1650	707
70	1673	683
71	1704	662
72	1729	639
73	1772	622
74	1796	598
75	1823	575
76	1845	551
77	1867	526
78	1890	502
79	1910	477
80	1940	455
81	1964	431
82	1991	407
83	2015	383
84	2037	359
85	2059	335
86	2080	310
87	2103	286
88	2158	266
89	2189	243
90	2209	218
91	2261	196
92	2288	172
93	2307	147
94	2360	124
95	2389	99
96	2410	74
97	2434	49
98	2456	24
99	2481	0
